tweet_id,name,party,state,text,date
t_1421621652710989825,Amy Klobuchar,D,MN,rep. jim ramstad faithful public servant true mentor work democrats republi…,"7/31/2021, 4:59:49 PM"
t_1421620867352731650,Benjamin Cardin,D,MD,"rt @mdotnews: icymi: @secretarypete discusses @portofbalt & infrastructure tour @govlarryhogan, mdot sec. greg slater, port e…","7/31/2021, 4:56:41 PM"
t_1421620282880663555,Matt Gaetz,R,FL,rt @rsbnetwork: @mattgaetz's truths: 1. mask mandates stupid 2. lockdowns deadly 3. vaccine passports passport f…,"7/31/2021, 4:54:22 PM"
t_1421620061069053954,Matt Gaetz,R,FL,rt @rsbnetwork: .@mattgaetz right! need republican fighters help us fight swamp work people!,"7/31/2021, 4:53:29 PM"
t_1421619793258590209,Ayanna Pressley,D,MA,rt @chuckmodi1: “we’ve fighting fight january” congresswoman ayanna pressley discusses “escalating activism” prior last…,"7/31/2021, 4:52:25 PM"
t_1421618947028393986,Joaquin Castro,D,TX,rt @diegobernaltx: one republican—other @replylelarson—said anything @gregabbott_tx preventing school districts requir…,"7/31/2021, 4:49:04 PM"
t_1421618905412481025,Joaquin Castro,D,TX,rt @diegobernaltx: don’t tell back work you’re upset football conferences governor send…,"7/31/2021, 4:48:54 PM"
t_1421618272210984960,Matt Gaetz,R,FL,rt @rsbnetwork: racist require voter id! racist assume certain races id!,"7/31/2021, 4:46:23 PM"
t_1421617084228902918,Tony Cárdenas,D,CA,"i’m fight you, @repmaxinewaters! won’t stop families across country protected ev…","7/31/2021, 4:41:39 PM"
t_1421616771761643521,Eric Swalwell,D,CA,@mtgreenee couldn’t walk around rope line?,"7/31/2021, 4:40:25 PM"
t_1421616666136522754,Teresa Leger Fernandez,D,NM,slow & unreliable broadband holds back millions rural americans. internet connections help doctors consult…,"7/31/2021, 4:40:00 PM"
t_1421615450828546049,Carlos Gimenez,R,FL,"hoy uno miles de residentes del sur de la florida en apoyo los pueblos de #cuba, #venezuela y #nicaragua en…","7/31/2021, 4:35:10 PM"
t_1421615409254604806,Michael Turner,R,OH,#icymi: recent statement discovery second icbm base china ↓ full statement:…,"7/31/2021, 4:35:00 PM"
t_1421615164814774272,Vicky Hartzler,R,MO,children soldiers taught ashamed based skin color s…,"7/31/2021, 4:34:02 PM"
t_1421615050331144194,Susie Lee,D,NV,"icymi: week, introduced open access evapotranspiration (openet) act @sencortezmasto. bill wil…","7/31/2021, 4:33:34 PM"
t_1421614471915655172,Michael Turner,R,OH,rt @wrightpattafb: #dyk fairfield air depot supplied everything airplane parts engines shoelaces. ️take look back the…,"7/31/2021, 4:31:17 PM"
t_1421614329443635203,Matt Gaetz,R,FL,"rt @rsbnetwork: ""what hell capitol police setting office tampa, florida?!"" need elected officials f…","7/31/2021, 4:30:43 PM"
t_1421614304667881472,Michael Turner,R,OH,rt @housegop: inflation tax every american increased every month biden took office. americans afford biden…,"7/31/2021, 4:30:37 PM"
t_1421614145162686464,Matt Gaetz,R,FL,rt @rsbnetwork: florida embraces freeedom! @mikenificent813 spoke @mattgaetz briefly florida man freedom tour!,"7/31/2021, 4:29:59 PM"
t_1421613825971920901,Cindy Hyde-Smith,R,MS,"heartbroken learn jt's passing. always enjoyed jt man true beliefs, faith, family.…","7/31/2021, 4:28:43 PM"
t_1421612951757275136,Matt Gaetz,R,FL,rt @rsbnetwork: .@mattgaetz ready ignite patriotic spirit!,"7/31/2021, 4:25:14 PM"
t_1421612598714318848,Matt Gaetz,R,FL,"rt @rsbnetwork: ""i want win majority back want worthy winning. way worthy winning show…","7/31/2021, 4:23:50 PM"
t_1421612295818522632,Barbara Lee,D,CA,"discussed civic engagement, non-violence, racial justice & equality & importance taking baton run…","7/31/2021, 4:22:38 PM"
t_1421612293050228736,Barbara Lee,D,CA,"today, met peggy wallace kennedy & young people alabama & martin luther king jr. freedom center whi…","7/31/2021, 4:22:37 PM"
t_1421611884625625094,Josh Harder,D,CA,richest americans sitting yachts getting richer second. least pay share taxes.,"7/31/2021, 4:21:00 PM"
